user,item
5656,27235
355,33204
6310,24774
108,11131
2211,75878
2342,69929
3984,92665
2783,61533
259,5252
720,47134
5744,17161
3925,58323
1662,27588
1586,68300
2658,7180
1892,13870
354,6670
6509,91374
7056,14033
1541,60898
6554,9319
3858,70007
1127,7013
634,38301
2231,2739
6382,56932
4187,4448
4113,1340
1034,4108
1329,16193
4311,46850
1541,67683
1472,66799
7032,28011
3650,90345
355,33610
2282,4263
2748,37093
2778,67095
3861,14584
193,4060
37,5374
4776,77142
2226,56391
3889,91944
4019,92987
1278,63261
13,2509
386,34648
1969,73375
258,24440
2354,25994
948,1519
2574,56920
3,932
7346,18403
2321,40931
418,1038
2102,63848
1496,13621
1082,8046
1645,6843
6786,14589
342,32505
2094,4589
859,8227
1127,60155
1587,20409
2217,75957
1027,29651
7241,37141
5289,27273
2169,37033
414,7750
1041,56951
3569,8335
5504,527
2444,17834
1224,49783
644,45008
6918,7771
1433,10847
760,12524
184,15526
3006,63013
1369,16424
5097,98002
1344,2634
2771,63558
150,14270
432,37694
1588,15586
2541,80794
31,4709
2571,23299
3623,15235
1407,25221
726,1302
761,11203
857,51358
2828,41631
2086,74864
3040,86752
3892,5664
4141,33990
3027,23317
2223,42835
4501,95340
6622,103190
259,24592
2962,70374
2578,10846
5524,99431
7021,8744
5376,17009
278,27091
6363,102408
304,3773
383,35330
1738,21675
6021,69186
2713,82512
390,28590
5950,26097
3399,3405
1202,26471
1190,40620
978,54886
1720,12607
46,6633
690,45963
1095,28801
2864,78493
2907,55631
238,20280
4032,74541
6781,103498
3005,86317
4837,15410
116,11840
646,45135
508,29298
1169,25978
2541,80018
6661,11195
1054,27184
5288,1959
3937,88953
4802,45295
1089,7818
84,9612
1357,62734
2939,73180
2041,1590
7103,14798
1624,68784
4497,1957
3032,2057
2932,85435
2272,58147
3913,17515
1161,2634
3032,24837
18,3909
3827,26231
407,36628
974,54636
5340,98851
649,1288
6404,7275
306,15619
6649,24527
5566,82815
5171,98355
892,52056
2312,77309
5090,19300
3549,47932
3859,65894
5177,67412
445,38468
1349,64471
3954,17317
3356,58957
3103,87295
2682,1982
3046,6899
