user,item
646,703
226,1991
241,314
119,3029
1652,424
123,45
1469,3282
1231,2564
1220,321
1734,153
812,10459
1661,239
57,1736
892,192
1811,220
1310,677
856,192
10,486
177,1786
1219,11692
1214,1601
937,538
117,3001
715,327
1860,2047
152,353
1783,360
793,2721
1874,597
1122,8592
1646,371
198,1370
91,990
1840,83
748,83
1784,7509
752,9992
254,1419
186,859
251,2016
1461,14843
1345,530
359,176
1362,1391
893,1772
1168,11629
1785,10713
696,2585
1580,326
846,2918
47,1500
1548,368
1171,2267
1333,324
628,832
1702,16452
1375,698
819,83
1346,11453
196,3439
854,2196
396,177
681,4039
940,601
375,1801
942,904
1375,14454
1642,10744
429,4957
921,165
831,10619
725,9737
676,1112
249,4886
40,64
206,157
1133,851
249,1496
1507,3031
1016,1178
957,11540
656,9156
308,455
700,4089
249,953
1529,691
700,474
280,505
1501,282
1517,6470
1523,1975
750,419
1513,285
323,5808
1672,16153
1381,157
1298,4701
733,1974
995,11792
1061,12359
949,11492
576,374
111,613
835,1038
1423,7498
742,153
1461,6214
1206,911
697,1188
204,3705
1778,16955
168,940
341,176
1225,828
693,5804
979,11682
1635,15933
918,61
384,6494
546,8124
1178,815
456,412
999,365
661,170
203,3438
1176,298
142,3307
587,1663
766,1146
844,1604
1739,2039
1775,12381
1425,1506
656,325
1786,1107
271,5161
1056,156
1546,221
1819,13599
739,452
436,7084
1867,17468
859,2016
862,10848
504,7696
1748,1773
1365,4378
1327,2331
847,529
406,494
1217,1402
1283,9932
1260,7364
1849,2916
143,482
553,8177
1599,2917
29,1085
1303,818
936,6974
658,3425
375,700
182,2951
738,6
702,2331
1793,17049
657,293
1666,473
288,700
1372,2586
1045,679
690,9475
786,7233
95,1624
43,293
1619,292
1701,7842
1884,1503
338,5965
586,319
856,10805
594,5053
72,83
1316,93
1139,1074
446,517
193,806
173,3327
1833,422
1288,13841
1143,3571
1405,12453
867,3693
1624,3948
1287,1088
1214,3668
909,1186
1491,1066
766,10129
935,531
1021,325
1152,1397
1618,1191
1781,726
840,343
528,812
697,9541
1755,83
549,59
833,504
1740,3444
616,8884
1122,61
1080,3507
565,8121
540,1189
46,695
1465,225
1726,6476
1182,319
25,1010
1089,3585
386,519
1457,958
631,673
320,5768
336,615
1577,1239
573,251
1252,3050
827,10580
890,11088
419,1983
1087,300
1493,15088
384,6493
1232,13534
953,458
710,1790
467,1349
774,10204
1696,184
224,4536
968,783
754,1968
1592,327
1295,1039
349,6121
1752,494
1823,1025
748,3178
222,325
501,294
1312,3360
1710,289
790,66
882,905
1875,8510
1378,283
1665,505
1802,10144
1830,963
1157,13066
732,701
964,7834
1103,2542
997,12
1877,17515
1024,2528
66,1403
1810,684
810,1973
1472,14955
160,1552
758,220
1601,5362
1543,15370
261,593
1747,1504
1155,1038
303,5580
362,6258
339,505
1410,1039
1764,16878
1595,534
711,1035
1527,184
1135,1096
752,9990
1690,904
640,422
1020,11963
798,61
1432,214
1474,5542
721,957
1353,14268
1577,2335
881,992
1046,323
1301,3162
261,33
299,5530
241,300
241,304
162,167
440,1360
1105,211
173,1089
71,1028
281,517
554,1176
1861,322
1007,11911
675,9316
1443,1418
1369,906
233,206
922,2430
1672,548
143,3332
937,1234
1283,860
1432,228
366,1091
356,459
252,239
456,1109
912,11279
1452,4602
1002,11867
1371,222
574,8411
573,8405
157,310
818,319
1880,293
1641,15972
1535,15335
131,288
859,1072
413,638
920,1611
739,286
1589,1709
1339,14142
445,683
817,326
1392,2515
614,327
811,320
1689,151
1400,200
1306,4421
1663,8911
1680,700
1638,8654
1373,698
1810,228
1171,3620
129,61
817,308
48,940
767,528
1610,2962
202,4264
637,3202
1551,244
1882,17526
261,520
1178,9177
1134,842
873,13
1667,727
1731,4032
104,221
1565,289
861,955
457,527
532,325
365,356
190,2326
187,504
1678,2326
914,338
281,1758
