user,friend
0,257
0,400
0,482
0,709
0,772
0,838
0,1102
0,1103
0,1121
0,1203
0,1431
0,1466
0,1689
1,74
1,238
1,429
1,777
1,1568
1,1625
1,1778
2,94
2,119
2,199
2,247
2,461
2,487
2,498
2,790
2,1009
2,1874
3,214
3,676
3,772
3,1154
3,1190
3,1339
3,1609
4,143
4,772
4,1154
4,1532
4,1587
5,43
5,218
5,363
5,509
5,756
5,809
5,917
5,1037
5,1080
5,1188
5,1313
5,1325
5,1488
5,1504
5,1565
5,1820
5,1836
5,1858
6,317
6,348
6,392
6,698
6,772
6,932
6,1074
6,1369
6,1416
6,1635
6,1636
7,693
7,772
7,1762
8,1092
8,1354
8,1381
8,1410
8,1788
9,10
9,22
9,124
9,131
9,139
9,216
9,259
9,378
9,636
9,739
9,746
9,757
9,798
9,902
9,932
9,1034
9,1038
9,1074
9,1075
9,1085
9,1190
9,1333
9,1423
9,1519
9,1591
9,1604
9,1651
9,1805
9,1821
10,9
10,43
10,122
10,128
10,140
10,222
10,225
10,241
10,373
10,509
10,553
10,636
10,681
10,740
10,800
10,857
10,867
10,914
10,938
10,967
10,996
10,1045
10,1046
10,1140
10,1155
10,1188
10,1218
10,1220
10,1238
10,1315
10,1416
10,1469
10,1476
10,1543
10,1557
10,1600
10,1643
10,1710
10,1805
10,1820
11,363
11,378
11,450
11,683
11,757
11,1037
11,1080
11,1497
11,1591
11,1604
11,1840
12,565
12,596
12,703
12,1144
12,1229
12,1403
12,1536
12,1587
13,117
13,137
13,223
13,249
13,389
13,423
13,718
13,1133
13,1144
13,1164
13,1252
13,1354
13,1405
13,1466
13,1500
13,1609
13,1629
13,1696
13,1795
13,1825
13,1835
14,137
14,235
14,317
14,408
14,509
14,653
14,677
14,683
14,693
14,734
14,756
14,1118
14,1148
14,1359
14,1415
14,1416
14,1472
14,1503
14,1540
14,1656
14,1710
14,1747
14,1802
14,1864
15,308
15,317
15,553
15,586
15,980
15,1499
15,1729
16,278
16,288
16,374
16,444
16,627
16,1079
16,1183
16,1286
16,1318
16,1324
17,1164
17,1706
18,195
18,938
18,1124
18,1186
18,1369
18,1416
18,1485
18,1635
18,1795
19,56
19,76
19,160
19,187
19,327
19,368
19,607
19,772
19,832
19,1139
19,1232
19,1394
19,1435
19,1685
19,1802
20,102
20,1144
21,131
21,144
21,217
21,307
21,339
21,363
21,390
21,392
21,406
21,470
21,627
21,683
21,746
21,772
21,829
21,932
21,942
21,947
21,1008
21,1080
21,1124
21,1188
21,1436
21,1553
21,1689
21,1776
22,9
22,222
22,289
22,363
22,432
22,590
22,677
22,792
22,942
22,1018
22,1114
22,1188
22,1325
22,1401
22,1486
22,1500
22,1820
22,1853
23,200
23,1002
23,1482
23,1788
23,1840
24,706
24,772
24,1762
24,1835
25,1825
26,870
27,128
27,131
27,215
27,363
27,455
27,469
27,592
27,700
27,1032
27,1034
27,1148
27,1166
27,1315
27,1359
27,1436
27,1455
27,1820
28,59
28,94
28,198
28,199
28,206
28,286
28,349
28,369
28,443
28,467
28,487
28,498
28,537
28,610
28,710
28,798
28,877
28,989
28,1062
28,1063
28,1070
28,1106
28,1142
28,1216
28,1368
28,1491
28,1658
28,1889
29,822
29,1144
29,1332
29,1343
29,1719
30,263
30,426
30,464
30,699
30,785
30,1122
30,1603
31,1354
32,893
33,490
33,697
33,872
34,56
34,117
34,136
34,1139
34,1498
34,1500
34,1696
35,358
36,74
36,1029
36,1394
36,1804
37,74
37,130
37,136
37,154
37,303
37,997
37,1260
37,1394
37,1663
37,1804
37,1852
38,80
38,102
39,509
39,1602
40,137
40,162
40,169
40,183
40,243
40,289
40,392
40,432
40,450
40,571
40,591
40,610
40,643
40,693
40,705
40,798
40,928
40,985
40,992
40,1066
40,1275
40,1327
40,1347
40,1359
40,1609
40,1807
41,298
41,453
41,893
41,1040
41,1052
41,1131
41,1250
42,43
42,46
42,225
42,254
42,373
42,386
42,481
42,485
42,501
42,506
42,550
42,967
42,988
42,1140
43,5
43,10
43,42
43,44
43,116
43,127
43,140
43,152
43,202
43,212
43,213
43,217
43,218
43,222
43,231
43,236
43,254
43,261
43,282
43,297
43,301
43,313
43,333
43,340
43,373
43,386
43,388
43,392
43,465
43,492
43,495
43,500
43,501
43,524
43,531
43,553
43,566
43,636
43,642
43,654
43,669
43,683
43,705
43,755
43,756
43,771
43,801
43,803
43,811
43,816
43,840
43,857
43,938
43,964
43,988
43,1037
43,1045
43,1140
43,1161
43,1185
43,1228
43,1235
43,1239
43,1277
43,1308
43,1313
43,1336
43,1416
43,1445
43,1469
43,1476
43,1510
43,1522
43,1570
43,1634
43,1644
43,1697
43,1710
43,1760
43,1776
43,1805
43,1818
43,1836
43,1851
44,43
44,55
44,127
44,231
44,278
44,363
44,373
44,408
44,439
44,706
44,772
44,902
44,1008
44,1045
44,1306
44,1313
44,1327
